project,arm,run,manual_analysis,auto_analysis,dice,pearson_r,r2,r_allfinite,r2_allfinite,r2_nonzero,n_brain
vbm_of_substance_use,full text,v2,all_drug_classes,all_drug_classes,0.4976,0.7359,0.5415,0.77,0.5929,0.2774,235375
vbm_of_substance_use,record + evidence,v2-record-with-evidence,all_drug_classes,all_drug_classes,0.4473,0.7255,0.5263,0.7597,0.5772,0.2258,235375
vbm_of_substance_use,"record, no evidence",v2-record-no-evidence,all_drug_classes,all_drug_classes,0.4375,0.725,0.5257,0.7592,0.5764,0.2269,235375
vbm_of_substance_use,baseline,baselines/all_drug_classes,all_drug_classes,all_analyses,0.3352,0.5874,0.345,0.6463,0.4177,0.133,235375
vbm_of_substance_use,full text,v2,alcohol,alcohol,0.5816,0.8206,0.6734,0.8409,0.7071,0.4929,235375
vbm_of_substance_use,record + evidence,v2-record-with-evidence,alcohol,alcohol,0.4863,0.7809,0.6097,0.805,0.6481,0.3896,235375
vbm_of_substance_use,"record, no evidence",v2-record-no-evidence,alcohol,alcohol,0.4902,0.7924,0.6279,0.8153,0.6647,0.4147,235375
vbm_of_substance_use,baseline,baselines/alcohol,alcohol,all_analyses,0.3087,0.579,0.3352,0.6339,0.4018,0.1438,235375
vbm_of_substance_use,full text,v2,nicotine,nicotine,0.3962,0.6015,0.3618,0.6413,0.4112,0.0686,235375
vbm_of_substance_use,record + evidence,v2-record-with-evidence,nicotine,nicotine,0.3239,0.5605,0.3142,0.6043,0.3652,0.0407,235375
vbm_of_substance_use,"record, no evidence",v2-record-no-evidence,nicotine,nicotine,0.3414,0.5953,0.3544,0.635,0.4032,0.0584,235375
vbm_of_substance_use,baseline,baselines/nicotine,nicotine,all_analyses,0.2131,0.3687,0.136,0.4426,0.1959,0.0043,235375
vbm_of_substance_use,full text,v2,opioids,opioids,0.17,0.7723,0.5965,0.783,0.613,0.0043,235375
vbm_of_substance_use,record + evidence,v2-record-with-evidence,opioids,opioids,0.3153,0.866,0.75,0.8712,0.759,0.0065,235375
vbm_of_substance_use,"record, no evidence",v2-record-no-evidence,opioids,opioids,0.3153,0.866,0.75,0.8712,0.759,0.0065,235375
vbm_of_substance_use,baseline,baselines/opioids,opioids,all_analyses,0.1234,0.4103,0.1683,0.4523,0.2046,0.0218,235375
vbm_of_substance_use,full text,v2,stimulants,stimulants,0.501,0.7328,0.537,0.7605,0.5784,0.0903,235375
vbm_of_substance_use,record + evidence,v2-record-with-evidence,stimulants,stimulants,0.483,0.7267,0.5281,0.7506,0.5633,0.0774,235375
vbm_of_substance_use,"record, no evidence",v2-record-no-evidence,stimulants,stimulants,0.3923,0.6669,0.4448,0.6951,0.4832,0.0319,235375
vbm_of_substance_use,baseline,baselines/stimulants,stimulants,all_analyses,0.2493,0.3888,0.1512,0.465,0.2163,0.0121,235375
vbm_of_substance_use,full text,v2,cannabis,cannabis,0.2831,0.8207,0.6736,0.8281,0.6857,0.0115,235375
vbm_of_substance_use,record + evidence,v2-record-with-evidence,cannabis,cannabis,0.2826,0.7694,0.5919,0.7795,0.6077,0.0035,235375
vbm_of_substance_use,"record, no evidence",v2-record-no-evidence,cannabis,cannabis,0.2826,0.7694,0.5919,0.7795,0.6077,0.0035,235375
vbm_of_substance_use,baseline,baselines/cannabis,cannabis,all_analyses,0.0054,0.2488,0.0619,0.2936,0.0862,0.0102,235375
